state_ut,x,y
andhra pradesh,-83,-196
arunachal pradesh,253,146
assam,234,102
bihar,70,80
chhattisgarh,-13,-30
goa,-202,-186
gujarat,-255,11
haryana,-154,171
himachal pradesh,-123,239
jharkhand,60,29
karnataka,-159,-215
kerala,-135,-335
madhya pradesh,-121,7
maharashtra,-160,-86
manipur,268,66
meghalaya,203,80
mizoram,246,24
nagaland,278,104
odisha,52,-56
punjab,-169,200
rajasthan,-210,95
sikkim,137,143
tamil nadu,-95,-298
telangana,-81,-127
tripura,219,45
uttarakhand,-76,190
uttar pradesh,-64,116
west bengal,119,13
andaman and nicobar islands,267,-251
chandigarh,-131,208
daman and diu,-223,-62
delhi,-122,152
jammu and kashmir,-190,290
ladakh,-126,317
lakshadweep,-252,-280
puducherry,-60,-272
