state_ut,x,y
andhra pradesh,-116,-192
arunachal pradesh,252,162
assam,208,104
bihar,56,84
chhattisgarh,-28,-17
goa,-202,-186
gujarat,-310,27
haryana,-160,176
himachal pradesh,-136,248
jharkhand,41,32
karnataka,-184,-239
kerala,-135,-335
madhya pradesh,-95,14
maharashtra,-217,-84
manipur,258,70
meghalaya,184,82
mizoram,241,35
nagaland,276,110
odisha,13,-51
punjab,-168,220
rajasthan,-259,108
sikkim,137,136
tamil Nadu,-124,-291
telangana,-106,-126
tripura,216,38
uttarakhand,-96,199
uttar pradesh,-102,126
west bengal,104,17
andaman and nicobar islands,267,-251
chandigarh,-131,206
daman and diu,-225,-61
delhi,-124,151
jammu and kashmir,-181,295
ladakh,-126,317
lakshadweep,-237,-292
puducherry,-62,-274
